book_Id,bookCategory_Id,title,writer,bookState_Id
260,0,오키나와,남민서,1
261,1,상실의 시대,조복순,2
262,8,창룡전,맹장석,2
263,0,외국어로서의 한국어학,유동진,2
264,8,중국어 낭독: 이론과 실제,전대중,0
265,4,세계속의 한글,석대용,2
266,1,국어문법연구,현영수,1
267,5,의미와 의미 분석,위진영,1
268,1,한.일 양 언어 운율의 음향 음성학적 대조 연구,은명박,2
269,2,국어 교육을 위한 국어 문법론,문샛별,2
270,2,공학수학,최보람,2
271,4,정부의 재정개혁,조헌수,2
272,4,옷차림과 치장의 변천,홍민서,2
273,0,복식미학 강의,변명박,0
274,7,서양 복식의 역사,탁진관,2
275,2,조선시대 우리옷,함민걸,1
276,3,선형대수,노별님,2
277,0,패션용어사전,연민지,1
278,4,행복한 식탁,여사랑,0
279,7,한국의 목조건축,인민서,0
280,3,한국의 문과 창호,강지희,2
281,5,한국의 전통 초가,노대용,0
282,0,싱글로 가는 길,임승민,2
283,8,드라이빙 체인지,오별님,0
284,4,언론학원론,기미란,2
285,3,21세기를 여는 일곱가지이야기,변승만,0
286,0,아버지의 눈물,전두환,0
287,7,회계원리의 이해와 실무,차유정,1
288,8,건축문화유산대요,우장석,2
289,6,신편가야사,강두환,2
290,4,천 개의 공감,유샛별,2
291,0,한국 전승연희의 현장연구,옥영수,2
292,2,경영정보신서,위대중,2
293,2,그레이트 빌더,탁희정,1
294,7,신편가야사,신준성,0
295,2,한국전쟁의 이해,최지희,0
296,7,재미있는 이야기 생물사,구동진,0
297,5,재미있는 이야기 물리사,옥지원,1
298,7,영국 소설의 흐름,남동진,0
299,8,미국소설의 안과 밖,황헌철,0
300,3,미군정기 한국의 사회변동과 사회사,김철수,2
301,0,가락국의 후예들,손민걸,1
302,0,그들의 새마을운동,양민걸,0
303,3,장면과 제2공화국,옥사랑,0
304,5,중동의 역사,고명박,1
305,7,거울에 비친 유럽,홍영수,2
306,3,음악교육학 총론,길종선,1
307,0,20세기 패션 아이콘,진예지,1
308,6,조선사 연구초,박민호,1
309,3,기독교와 한국 역사,지사랑,1
310,7,서양건축기술사,신복순,0
311,6,지식의 분류사,함샛별,2
312,5,태양의 아이들,노달림,1
313,5,신화의 역사,양정희,2
314,7,위대한 모순어록,위동진,1
315,3,한국사 테마전,주준성,0
316,6,한옥과 한국 주택의 역사,송미란,1
317,6,에로스의 종말,설민서,0
318,7,사양,추대중,1
319,8,걷는 듯 천천히,공길준,2
320,8,청춘강의,방민지,0
321,2,성과를 내는 세일즈매니저는 무엇이 다른가,한희정,0
322,2,악당의 명언,김지원,2
323,1,토론의 전사,허유정,1
